H3_INDEX,ANO_SEMANA,QTD_CRIMES,ALVO
89a80307427ffff,2023-02,9,1
89a8030742fffff,2023-41,5,1
89a8030748bffff,2023-38,5,1
89a803074a7ffff,2023-43,4,1
89a80307503ffff,2023-30,5,1
89a8030750bffff,2023-42,1,1
89a8030750fffff,2023-05,1,1
89a8030751bffff,2023-02,5,1
89a8030751bffff,2023-08,10,1
89a8030751bffff,2023-24,5,1
89a8030751bffff,2023-29,1,1
89a8030751bffff,2023-34,20,1
89a8030751bffff,2023-42,2,1
89a8030751bffff,2023-47,16,1
89a80307523ffff,2023-02,10,1
89a80307537ffff,2023-07,4,1
89a80307543ffff,2023-02,1,1
89a80307547ffff,2023-19,5,1
89a8030754bffff,2023-22,11,1
89a8030754fffff,2023-29,5,1
89a80307557ffff,2023-52,5,1
89a8030756fffff,2023-01,1,1
89a8030756fffff,2023-19,1,1
89a80307573ffff,2023-16,1,1
89a80307573ffff,2023-18,6,1
89a80307577ffff,2023-09,5,1
89a80307583ffff,2023-14,5,1
89a803075b3ffff,2023-37,5,1
89a803075c3ffff,2023-25,1,1
89a803075c3ffff,2023-32,1,1
89a803075d7ffff,2023-19,5,1
89a803075d7ffff,2023-39,2,1
89a80308803ffff,2023-36,4,1
89a80308803ffff,2023-52,4,1
89a8030880fffff,2023-25,8,1
89a8030884bffff,2023-29,18,1
89a8030884bffff,2023-31,1,1
89a8030884bffff,2023-38,5,1
89a8030884bffff,2023-44,1,1
89a8030885bffff,2023-20,4,1
89a8030887bffff,2023-22,12,1
89a80308893ffff,2023-03,1,1
89a80308a27ffff,2023-22,1,1
89a80308c6fffff,2023-15,1,1
89a8030f343ffff,2023-19,1,1
89a80315947ffff,2023-47,1,1
89a803159bbffff,2023-17,4,1
89a803159bbffff,2023-18,1,1
89a803159dbffff,2023-11,4,1
89a80315b47ffff,2022-52,1,1
89a80315b47ffff,2023-46,2,1
89a80315b57ffff,2023-30,4,1
89a80315b63ffff,2023-30,1,1
89a80315b6fffff,2023-20,7,1
89a80315b87ffff,2023-24,5,1
89a80315ba3ffff,2023-03,1,1
89a803188d7ffff,2023-10,1,1
89a80318ebbffff,2023-03,5,1
89a80319007ffff,2023-27,8,1
89a80319007ffff,2023-38,4,1
89a8033004bffff,2023-13,10,1
89a8033004bffff,2023-17,6,1
89a803330cbffff,2023-44,4,1
89a80333203ffff,2023-44,2,1
89a803332abffff,2023-28,1,1
89a803332b3ffff,2023-25,4,1
89a80333497ffff,2023-25,1,1
89a80336157ffff,2023-10,1,1
89a80336173ffff,2023-24,4,1
89a80338da3ffff,2023-43,1,1
89a80342067ffff,2023-05,2,1
89a80342067ffff,2023-45,1,1
89a80342067ffff,2023-52,1,1
89a80348e27ffff,2022-50,2,1
89a803495d3ffff,2023-20,6,1
89a803495d3ffff,2023-25,33,1
89a8034a93bffff,2023-38,1,1
89a8034c647ffff,2023-26,1,1
89a8034f273ffff,2023-21,1,1
89a8034f45bffff,2023-15,1,1
89a80354107ffff,2023-15,1,1
89a80354107ffff,2023-51,1,1
89a8035811bffff,2023-25,5,1
89a8035811bffff,2023-50,4,1
89a80358387ffff,2023-33,2,1
89a803583a3ffff,2023-27,1,1
